"NAME","AD","ZIPCODE","NEIGH","XCOORD","YCOORD","Location","latitude","longitude"
"Lemuel Shattuck Hospital","170 MORTON ST",2130,"ROSLINDALE","71106033","42300022","170 MORTON ST
ROSLINDALE, MA 02130
(42.30025000839615, -71.10737910445549)",42.3002500083961,-71.1073791044555
"Beth Israel Deaconess Medical Center East Cam","330 BROOKLINE AV",2115,"FENWAY/KENMORE","71106780","42339726","330 BROOKLINE AV
FENWAY/KENMORE, MA 02115
(42.3438499996779, -71.08983000035408)",42.3438499996779,-71.0898300003541
"Jewish Memorial Hospital","59 TOWNSEND ST",2119,"ROXBURY","71092712","42318569","59 TOWNSEND ST
ROXBURY, MA 02119
(42.31856289432221, -71.09165569529381)",42.3185628943222,-71.0916556952938
"New England Baptist Hospital","125 PARKER HILL AV",2120,"JAMAICA PLAIN","71107615","42329944","125 PARKER HILL AV
JAMAICA PLAIN, MA 02120
(42.329611374844326, -71.10616871232227)",42.3296113748443,-71.1061687123223
"Boston Specialty & Rehabilitation Hospital","249 RIVER ST",2126,"MATTAPAN","71081888","42271300","249 RIVER ST
MATTAPAN, MA 02126
(42.27137912172521, -71.08168028446168)",42.2713791217252,-71.0816802844617
"Boston Medical Center","88 EAST NEWTON ST",2118,"SOUTH END","71072029","42336883","88 EAST NEWTON ST
SOUTH END, MA 02118
(42.3371094801158, -71.07139912234962)",42.3371094801158,-71.0713991223496
"Va Hospital","125 PARKER HILL AV",2120,"JAMAICA PLAIN","71107615","42329944","125 PARKER HILL AV
JAMAICA PLAIN, MA 02120
(42.329611374844326, -71.10616871232227)",42.3296113748443,-71.1061687123223
"Massachusetts Eye & Ear Infirmary","243 CHARLES ST",2114,"CENTRAL","71071597","42361888","243 CHARLES ST
CENTRAL, MA 02114
(42.36297141612903, -71.07043169540236)",42.362971416129,-71.0704316954024
"Kindred Hospital","1515 COMMONWEALTH AV",2135,"ALLSTON/BRIGHTON","71143257","42344524","1515 COMMONWEALTH AV
ALLSTON/BRIGHTON, MA 02135
(42.34665771451756, -71.14136122385321)",42.3466577145176,-71.1413612238532
"Brigham And Women's Hospital","75 FRANCIS ST",2115,"FENWAY/KENMORE","71108736","42336110","75 FRANCIS ST
FENWAY/KENMORE, MA 02115
(42.33587602903896, -71.10741054246668)",42.335876029039,-71.1074105424667
"Carney Hospital","2100 DORCHESTER AV",2124,"DORCHESTER","71066700","42278793","2100 DORCHESTER AV
DORCHESTER, MA 02124
(42.27854306401838, -71.06631280050811)",42.2785430640184,-71.0663128005081
"New England Medical Center","750 WASHINGTON ST",2111,"CENTRAL","71064105","42349919","750 WASHINGTON ST
CENTRAL, MA 02111
(42.349946522039204, -71.0634111017112)",42.3499465220392,-71.0634111017112
"Faulkner Hospital","1153 CENTRE ST",2130,"JAMAICA PLAIN","71127683","42300951","1153 CENTRE ST
JAMAICA PLAIN, MA 02130
(42.30021828265608, -71.12789683059322)",42.3002182826561,-71.1278968305932
"St. Elizabeth's Hospital","736 CAMBRIDGE ST",2135,"ALLSTON/BRIGHTON","71148694","42349484","736 CAMBRIDGE ST
ALLSTON/BRIGHTON, MA 02135
(42.349656455743144, -71.14822103232248)",42.3496564557431,-71.1482210323225
"VA Hospital","1400 VFW Parkway",2132,"West Roxbury","NULL","NULL","1400 VFW Parkway
West Roxbury, MA 02132
(42.27598935537618, -71.17245195460838)",42.2759893553762,-71.1724519546084
"Shriners Burns Institute","51 BLOSSOM ST",2114,"CENTRAL","71067780","42363078","51 BLOSSOM ST
CENTRAL, MA 02114
(42.36327718561898, -71.0668523937257)",42.363277185619,-71.0668523937257
"Children's Hospital","300 LONGWOOD AV",2115,"FENWAY/KENMORE","71105364","42337397","300 LONGWOOD AV
FENWAY/KENMORE, MA 02115
(42.337592548462226, -71.10472284437952)",42.3375925484622,-71.1047228443795
"Arbour Hospital","49 ROBINWOOD AV",2130,"JAMAICA PLAIN","71112946","42316200","49 ROBINWOOD AV
JAMAICA PLAIN, MA 02130
(42.31617666213941, -71.11272670363542)",42.3161766621394,-71.1127267036354
"Hebrew Rehabilitation Center","1200 Centre St",2131,"Roslindale","NULL","NULL","1200 Centre St
Roslindale, MA 02131
(42.29738386053219, -71.13150465441208)",42.2973838605322,-71.1315046544121
"St. Margaret's Hospital For Women","90 CUSHING AV",2125,"DORCHESTER","71063289","42313434","90 CUSHING AV
DORCHESTER, MA 02125
(42.314030311294516, -71.06406449543488)",42.3140303112945,-71.0640644954349
"Spaulding Rehabilitation Hospital","125 NASHUA ST",2114,"CENTRAL","71064181","42365851","125 NASHUA ST
CENTRAL, MA 02114
(42.36764789068138, -71.06564730220646)",42.3676478906814,-71.0656473022065
"Franciscan Children's  Hospital","30 WARREN ST",2134,"ALLSTON/BRIGHTON","71145444","42349686","30 WARREN ST
ALLSTON/BRIGHTON, MA 02134
(42.352620000312925, -71.13281000028115)",42.3526200003129,-71.1328100002812
"Beth Israel Deaconess Medical Center West Cam","185 PILGRIM RD",2215,"FENWAY/KENMORE","71110396","42338267","185 PILGRIM RD
FENWAY/KENMORE, MA 02215
(42.3385289546495, -71.10940050507557)",42.3385289546495,-71.1094005050756
"Dana-farber Cancer Institute","44 BINNEY ST",2115,"FENWAY/KENMORE","71108031","42337085","44 BINNEY ST
FENWAY/KENMORE, MA 02115
(42.33734993862189, -71.1071702648531)",42.3373499386219,-71.1071702648531
"Massachusetts General Hospital","55 FRUIT ST",2114,"CENTRAL","71070473","42362495","55 FRUIT ST
CENTRAL, MA 02114
(42.36247485742686, -71.06924724545246)",42.3624748574269,-71.0692472454525
